Frekvens,0,Total rows,Probability,IC,PARENT_IC,INDEX,Constant,ENCODE
43388,78552,503609,0.0861541394216545,2.4516172681589805,15.1608640293184,1.0,0.01,15.1708640293184
38610,79092,503609,0.07666662033442612,2.5682888630608063,22.969630552010948,1.0,0.01,22.97963055201095
27768,78791,503609,0.05513801381627413,2.897915894777466,10.958567144876323,1.0,0.01,10.968567144876323
24751,7907,503609,0.04914725511259727,3.0129342810980693,25.169241498900067,1.0,0.01,25.17924149890007
24033,79902,503609,0.047721545881824985,3.042372287435862,3.042372287435862,1.0,0.01,3.052372287435862
22045,78959,503609,0.04377403898659476,3.1287143545270504,9.86300820873069,1.0,0.01,9.87300820873069
16229,78820,503609,0.03222539708384878,3.4350004080032064,14.840232222863703,1.0,0.01,14.850232222863703
14880,78009,503609,0.02954673169065684,3.5217821439320054,26.805635373376486,1.0,0.01,26.815635373376487
14375,78551,503609,0.028543969627230648,3.5563095866535375,15.1608640293184,2.0,0.01,15.1808640293184
14122,78039,503609,0.02804159576179139,3.5740663082427964,12.040182666449818,1.0,0.01,12.050182666449818
11233,78720,503609,0.022305002492012654,3.8029442986775193,35.988628361664496,1.0,0.01,35.998628361664494
10367,7850,503609,0.020585414478295663,3.8831724889959762,41.2105148852761,1.0,0.01,41.220514885276096
9944,7904,503609,0.019745477145960456,3.9248308191285415,25.169241498900067,2.0,0.01,25.189241498900067
8668,78097,503609,0.01721176547678854,4.062162089662839,35.640481806879976,1.0,0.01,35.650481806879974
7324,78052,503609,0.014543028420858245,4.230643546524687,28.002961212356425,1.0,0.01,28.012961212356426
7306,79001,503609,0.014507286406716322,4.233104244963861,4.233104244963861,1.0,0.01,4.2431042449638605
6674,78061,503609,0.013252344576844337,4.323580793007769,35.5211985764182,1.0,0.01,35.5311985764182
6200,7843,503609,0.01231113820444035,4.397250881285905,41.25621685837435,1.0,0.01,41.26621685837435
6140,7885,503609,0.012191998157300604,4.406975431177901,21.912083402321816,1.0,0.01,21.922083402321817
6066,7802,503609,0.012045058765828252,4.419100764070562,24.446027671548215,1.0,0.01,24.456027671548217
5981,78559,503609,0.011876277032380278,4.4332123952745315,15.1608640293184,3.0,0.01,15.1908640293184
5920,7823,503609,0.011755151317788204,4.443463724441037,43.943563095554474,1.0,0.01,43.95356309555447
5828,7847,503609,0.011572469912173929,4.459126285003993,41.25621685837435,2.0,0.01,41.276216858374355
5769,78830,503609,0.011455315532486512,4.469301418062199,48.92282789511589,1.0,0.01,48.932827895115885
5665,7994,503609,0.011248806117444287,4.487493278856982,18.03010599422033,1.0,0.01,18.040105994220333
5616,78060,503609,0.011151508412280162,4.496180506613442,35.5211985764182,2.0,0.01,35.5411985764182
5475,78701,503609,0.01087152930150176,4.521607897634387,25.46966038205485,1.0,0.01,25.479660382054853
5405,79029,503609,0.010732532579838723,4.53447572224578,20.477062700743346,1.0,0.01,20.487062700743348
4491,78550,503609,0.008917632528409937,4.719724779231351,15.1608640293184,4.0,0.01,15.2008640293184
4293,78722,503609,0.008524470372848777,4.764814384094528,35.988628361664496,2.0,0.01,36.0086283616645
3843,78829,503609,0.007630920019300688,4.875546861754245,14.840232222863703,2.0,0.01,14.860232222863702
3829,7840,503609,0.00760312067496808,4.879196500841794,41.25621685837435,3.0,0.01,41.28621685837435
3574,7856,503609,0.0070967754746241625,4.948114756599715,41.2105148852761,2.0,0.01,41.2305148852761
3451,7821,503609,0.006852538377987685,4.983136129221085,43.943563095554474,2.0,0.01,43.96356309555448
3357,7824,503609,0.00666588563746875,5.010752455339054,43.943563095554474,3.0,0.01,43.973563095554475
3285,78321,503609,0.006522917580901056,5.032433521400377,5.032433521400377,1.0,0.01,5.042433521400377
3277,78609,503609,0.006507032241282423,5.034871803620274,52.398449126835004,1.0,0.01,52.408449126835
3212,7905,503609,0.006377963856881033,5.054906377252436,25.169241498900067,3.0,0.01,25.19924149890007
3157,78062,503609,0.006268752147002933,5.072177963761097,35.5211985764182,3.0,0.01,35.5511985764182
3143,7921,503609,0.006240952802670325,5.076622415521521,5.076622415521521,1.0,0.01,5.0866224155215205
3141,79431,503609,0.006236981467765667,5.077258952780442,14.255570686518103,1.0,0.01,14.265570686518103
3081,7812,503609,0.006117841420625922,5.096545953722421,39.435666482013254,1.0,0.01,39.44566648201325
3070,7837,503609,0.006095999078650302,5.100122611737846,35.55584933188106,1.0,0.01,35.56584933188106
2914,78702,503609,0.005786234956086964,5.152273465563939,25.46966038205485,2.0,0.01,25.48966038205485
2843,78001,503609,0.005645252566971599,5.1769403406680885,26.805635373376486,2.0,0.01,26.825635373376485
2838,78659,503609,0.005635324229709954,5.178700594599101,25.445227870586656,1.0,0.01,25.455227870586658
2730,7906,503609,0.005420872144858412,5.217498564140083,25.169241498900067,4.0,0.01,25.209241498900067
2582,78065,503609,0.005126993361913707,5.273235880912501,35.5211985764182,4.0,0.01,35.5611985764182
2394,7810,503609,0.004753687880875838,5.3488345662011705,39.435666482013254,2.0,0.01,39.45566648201326
2380,78057,503609,0.004725888536543231,5.354699685653568,28.002961212356425,2.0,0.01,28.022961212356424
2296,78451,503609,0.004559092470547588,5.390631694879631,12.283817556995015,1.0,0.01,12.293817556995014
2282,79311,503609,0.00453129312621498,5.3967479218970675,12.626406020633665,1.0,0.01,12.636406020633665
2226,78079,503609,0.004420095748884551,5.421593920483598,13.374999640228857,1.0,0.01,13.384999640228857
2143,78650,503609,0.004255285350341237,5.459593456845512,25.445227870586656,2.0,0.01,25.465227870586656
