0,1,2,3,4,5,6
330-337.99,320-389.99,001-999.99,001-999.99,001-999.99,001-999.99,001-999.99
216.4,216,210-229.99,140-239.99,001-999.99,001-999.99,001-999.99
831.12,831.1,831,830-839.99,800-999.99,001-999.99,001-999.99
927,925-929.99,800-999.99,001-999.99,001-999.99,001-999.99,001-999.99
831.14,831.1,831,830-839.99,800-999.99,001-999.99,001-999.99
429.2,429,420-429.99,390-459.99,001-999.99,001-999.99,001-999.99
718.13,718.1,718,710-719.99,710-739.99,001-999.99,001-999.99
804.51,804.5,804,800-804.99,800-829.99,800-999.99,001-999.99
618,617-629.99,580-629.99,001-999.99,001-999.99,001-999.99,001-999.99
804.53,804.5,804,800-804.99,800-829.99,800-999.99,001-999.99
289,280-289.99,001-999.99,001-999.99,001-999.99,001-999.99,001-999.99
188.7,188,179-189.99,140-239.99,001-999.99,001-999.99,001-999.99
644.00,644.0,644,640-649.99,630-679.99,001-999.99,001-999.99
646.12,646.1,646,640-649.99,630-679.99,001-999.99,001-999.99
951.2,951,950-957.99,800-999.99,001-999.99,001-999.99,001-999.99
874.0,874,870-879.99,870-897.99,800-999.99,001-999.99,001-999.99
715.95,715.9,715,710-719.99,710-739.99,001-999.99,001-999.99
608.21,608.2,608,600-608.99,580-629.99,001-999.99,001-999.99
013.01,013.0,013,010-018.99,001-139.99,001-999.99,001-999.99
945.25,945.2,945,940-949.99,800-999.99,001-999.99,001-999.99
675.10,675.1,675,670-677.99,630-679.99,001-999.99,001-999.99
389.15,389.1,389,380-389.99,320-389.99,001-999.99,001-999.99
205.1,205,200-208.99,140-239.99,001-999.99,001-999.99,001-999.99
716.89,716.8,716,710-719.99,710-739.99,001-999.99,001-999.99
622.4,622,617-629.99,580-629.99,001-999.99,001-999.99,001-999.99
428.42,428.4,428,420-429.99,390-459.99,001-999.99,001-999.99
340,340-349.99,320-389.99,001-999.99,001-999.99,001-999.99,001-999.99
758.0,758,740-759.99,001-999.99,001-999.99,001-999.99,001-999.99
350.8,350,350-359.99,320-389.99,001-999.99,001-999.99,001-999.99
524.64,524.6,524,520-529.99,520-579.99,001-999.99,001-999.99
800.32,800.3,800,800-804.99,800-829.99,800-999.99,001-999.99
916,910-919.99,800-999.99,001-999.99,001-999.99,001-999.99,001-999.99
756.2,756,740-759.99,001-999.99,001-999.99,001-999.99,001-999.99
602.9,602,600-608.99,580-629.99,001-999.99,001-999.99,001-999.99
587,580-589.99,580-629.99,001-999.99,001-999.99,001-999.99,001-999.99
276.50,276.5,276,270-279.99,240-279.99,001-999.99,001-999.99
707.13,707.1,707,700-709.99,680-709.99,001-999.99,001-999.99
484.6,484,480-488.99,460-519.99,001-999.99,001-999.99,001-999.99
625.5,625,617-629.99,580-629.99,001-999.99,001-999.99,001-999.99
304.20,304.2,304,300-316.99,290-319.99,001-999.99,001-999.99
378.15,378.1,378,360-379.99,320-389.99,001-999.99,001-999.99
342.11,342.1,342,340-349.99,320-389.99,001-999.99,001-999.99
495.9,495,490-496.99,460-519.99,001-999.99,001-999.99,001-999.99
410.81,410.8,410,410-414.99,390-459.99,001-999.99,001-999.99
013.31,013.3,013,010-018.99,001-139.99,001-999.99,001-999.99
157.9,157,150-159.99,140-239.99,001-999.99,001-999.99,001-999.99
997.61,997.6,997,996-999.99,800-999.99,001-999.99,001-999.99
649.22,649.2,649,640-649.99,630-679.99,001-999.99,001-999.99
058.1,058,050-059.99,001-139.99,001-999.99,001-999.99,001-999.99
669.04,669.0,669,660-669.99,630-679.99,001-999.99,001-999.99
669.02,669.0,669,660-669.99,630-679.99,001-999.99,001-999.99
633.00,633.0,633,630-633.99,630-679.99,001-999.99,001-999.99
649.24,649.2,649,640-649.99,630-679.99,001-999.99,001-999.99
112.81,112.8,112,110-118.99,001-139.99,001-999.99,001-999.99
251.3,251,249-259.99,240-279.99,001-999.99,001-999.99,001-999.99
174.1,174,170-176.99,140-239.99,001-999.99,001-999.99,001-999.99
372.72,372.7,372,360-379.99,320-389.99,001-999.99,001-999.99
070.53,070.5,070,070-079.99,001-139.99,001-999.99,001-999.99
070.51,070.5,070,070-079.99,001-139.99,001-999.99,001-999.99
727.2,727,725-729.99,710-739.99,001-999.99,001-999.99,001-999.99
365.03,365.0,365,360-379.99,320-389.99,001-999.99,001-999.99
780.64,780.6,780,780-789.99,780-799.99,001-999.99,001-999.99
576,570-579.99,520-579.99,001-999.99,001-999.99,001-999.99,001-999.99
941.36,941.3,941,940-949.99,800-999.99,001-999.99,001-999.99
524.06,524.0,524,520-529.99,520-579.99,001-999.99,001-999.99
614.5,614,614-616.99,580-629.99,001-999.99,001-999.99,001-999.99
144.8,144,140-149.99,140-239.99,001-999.99,001-999.99,001-999.99
824.0,824,820-829.99,800-829.99,800-999.99,001-999.99,001-999.99
451.84,451.8,451,451-459.99,390-459.99,001-999.99,001-999.99
646.51,646.5,646,640-649.99,630-679.99,001-999.99,001-999.99
836.5,836,830-839.99,800-999.99,001-999.99,001-999.99,001-999.99
948.70,948.7,948,940-949.99,800-999.99,001-999.99,001-999.99
786.07,786.0,786,780-789.99,780-799.99,001-999.99,001-999.99
461.1,461,460-466.99,460-519.99,001-999.99,001-999.99,001-999.99
121.0,121,120-129.99,001-139.99,001-999.99,001-999.99,001-999.99
786.09,786.0,786,780-789.99,780-799.99,001-999.99,001-999.99
712.14,712.1,712,710-719.99,710-739.99,001-999.99,001-999.99
115.91,115.9,115,110-118.99,001-139.99,001-999.99,001-999.99
115.93,115.9,115,110-118.99,001-139.99,001-999.99,001-999.99
832.2,832,830-839.99,800-999.99,001-999.99,001-999.99,001-999.99
668.81,668.8,668,660-669.99,630-679.99,001-999.99,001-999.99
488.09,488.0,488,480-488.99,460-519.99,001-999.99,001-999.99
163.1,163,160-165.99,140-239.99,001-999.99,001-999.99,001-999.99
668.83,668.8,668,660-669.99,630-679.99,001-999.99,001-999.99
385.1,385,380-389.99,320-389.99,001-999.99,001-999.99,001-999.99
807.5,807,805-809.99,800-829.99,800-999.99,001-999.99,001-999.99
359.81,359.8,359,350-359.99,320-389.99,001-999.99,001-999.99
885,880-887.99,870-897.99,800-999.99,001-999.99,001-999.99,001-999.99
674.03,674.0,674,670-677.99,630-679.99,001-999.99,001-999.99
231.8,231,230-234.99,140-239.99,001-999.99,001-999.99,001-999.99
300.01,300.0,300,300-316.99,290-319.99,001-999.99,001-999.99
526.0,526,520-529.99,520-579.99,001-999.99,001-999.99,001-999.99
047.1,047,045-049.99,001-139.99,001-999.99,001-999.99,001-999.99
387.2,387,380-389.99,320-389.99,001-999.99,001-999.99,001-999.99
782.9,782,780-789.99,780-799.99,001-999.99,001-999.99,001-999.99
372.14,372.1,372,360-379.99,320-389.99,001-999.99,001-999.99
012.24,012.2,012,010-018.99,001-139.99,001-999.99,001-999.99
364.82,364.8,364,360-379.99,320-389.99,001-999.99,001-999.99
402.91,402.9,402,401-405.99,390-459.99,001-999.99,001-999.99
110.0,110,110-118.99,001-139.99,001-999.99,001-999.99,001-999.99
590.81,590.8,590,590-599.99,580-629.99,001-999.99,001-999.99
301.89,301.8,301,300-316.99,290-319.99,001-999.99,001-999.99
655.71,655.7,655,650-659.99,630-679.99,001-999.99,001-999.99
640.9,640,640-649.99,630-679.99,001-999.99,001-999.99,001-999.99
708.0,708,700-709.99,680-709.99,001-999.99,001-999.99,001-999.99
800.64,800.6,800,800-804.99,800-829.99,800-999.99,001-999.99
292.81,292.8,292,290-294.99,290-299.99,290-319.99,001-999.99
132.3,132,130-136.99,001-139.99,001-999.99,001-999.99,001-999.99
902.27,902.2,902,900-904.99,800-999.99,001-999.99,001-999.99
902.29,902.2,902,900-904.99,800-999.99,001-999.99,001-999.99
800.62,800.6,800,800-804.99,800-829.99,800-999.99,001-999.99
739.1,739,730-739.99,710-739.99,001-999.99,001-999.99,001-999.99
719.3,719,710-719.99,710-739.99,001-999.99,001-999.99,001-999.99
771.6,771,764-779.99,760-779.99,001-999.99,001-999.99,001-999.99
874,870-879.99,870-897.99,800-999.99,001-999.99,001-999.99,001-999.99
643.23,643.2,643,640-649.99,630-679.99,001-999.99,001-999.99
374.1,374,360-379.99,320-389.99,001-999.99,001-999.99,001-999.99
663.03,663.0,663,660-669.99,630-679.99,001-999.99,001-999.99
354.3,354,350-359.99,320-389.99,001-999.99,001-999.99,001-999.99
718.52,718.5,718,710-719.99,710-739.99,001-999.99,001-999.99
912.5,912,910-919.99,800-999.99,001-999.99,001-999.99,001-999.99
995.81,995.8,995,990-995.99,800-999.99,001-999.99,001-999.99
998.8,998,996-999.99,800-999.99,001-999.99,001-999.99,001-999.99
552.02,552.0,552,550-553.99,520-579.99,001-999.99,001-999.99
874.01,874.0,874,870-879.99,870-897.99,800-999.99,001-999.99
706.2,706,700-709.99,680-709.99,001-999.99,001-999.99,001-999.99
453.40,453.4,453,451-459.99,390-459.99,001-999.99,001-999.99
708.3,708,700-709.99,680-709.99,001-999.99,001-999.99,001-999.99
719.6,719,710-719.99,710-739.99,001-999.99,001-999.99,001-999.99
970.1,970,960-979.99,800-999.99,001-999.99,001-999.99,001-999.99
803.74,803.7,803,800-804.99,800-829.99,800-999.99,001-999.99
212.6,212,210-229.99,140-239.99,001-999.99,001-999.99,001-999.99
959.14,959.1,959,958-959.99,800-999.99,001-999.99,001-999.99
923.10,923.1,923,920-924.99,800-999.99,001-999.99,001-999.99
780.96,780.9,780,780-789.99,780-799.99,001-999.99,001-999.99
813.0,813,810-819.99,800-829.99,800-999.99,001-999.99,001-999.99
343.3,343,340-349.99,320-389.99,001-999.99,001-999.99,001-999.99
670.14,670.1,670,670-677.99,630-679.99,001-999.99,001-999.99
360.63,360.6,360,360-379.99,320-389.99,001-999.99,001-999.99
807.10,807.1,807,805-809.99,800-829.99,800-999.99,001-999.99
426.51,426.5,426,420-429.99,390-459.99,001-999.99,001-999.99
746.83,746.8,746,740-759.99,001-999.99,001-999.99,001-999.99
379.92,379.9,379,360-379.99,320-389.99,001-999.99,001-999.99
363.70,363.7,363,360-379.99,320-389.99,001-999.99,001-999.99
887,880-887.99,870-897.99,800-999.99,001-999.99,001-999.99,001-999.99
176.4,176,170-176.99,140-239.99,001-999.99,001-999.99,001-999.99
715.30,715.3,715,710-719.99,710-739.99,001-999.99,001-999.99
753.21,753.2,753,740-759.99,001-999.99,001-999.99,001-999.99
045.02,045.0,045,045-049.99,001-139.99,001-999.99,001-999.99
191.5,191,190-199.99,140-239.99,001-999.99,001-999.99,001-999.99
716.24,716.2,716,710-719.99,710-739.99,001-999.99,001-999.99
385.12,385.1,385,380-389.99,320-389.99,001-999.99,001-999.99
616.5,616,614-616.99,580-629.99,001-999.99,001-999.99,001-999.99
943.36,943.3,943,940-949.99,800-999.99,001-999.99,001-999.99
011.10,011.1,011,010-018.99,001-139.99,001-999.99,001-999.99
712.88,712.8,712,710-719.99,710-739.99,001-999.99,001-999.99
997.49,997.4,997,996-999.99,800-999.99,001-999.99,001-999.99
