Frekvens,0,Total rows,Probability,IC,PARENT_IC,INDEX,Constant,ENCODE
33356,V5861,503609,0.06623392353988908,2.7145625071122126,42.87843810556217,1.0,0.01,42.888438105562166
28248,V1582,503609,0.056091134193392095,2.880777514710866,37.675621831375224,1.0,0.01,37.68562183137522
26112,V5867,503609,0.05184974851521716,2.959405194555255,42.87843810556217,2.0,0.01,42.89843810556217
22968,V4986,503609,0.04560681004509451,3.0876982305181886,41.901708059006424,1.0,0.01,41.91170805900642
19058,V4581,503609,0.03784285030648777,3.274313212410955,39.25495210200368,1.0,0.01,39.264952102003676
17641,V4582,503609,0.03502915952653745,3.3515744350226826,39.25495210200368,2.0,0.01,39.27495210200368
16280,V1251,503609,0.03232666612391756,3.4318628127625574,34.36587617700984,1.0,0.01,34.375876177009836
14186,V667,503609,0.028168678478740453,3.5695446105570565,3.5695446105570565,1.0,0.01,3.5795446105570563
11257,V1254,503609,0.02235265851086855,3.8008100159642844,34.36587617700984,2.0,0.01,34.38587617700984
10903,V5865,503609,0.021649732232744055,3.8327621926127065,42.87843810556217,3.0,0.01,42.90843810556217
10721,V4501,503609,0.02128834075642016,3.849595738462849,17.664877733888797,1.0,0.01,17.6748777338888
7824,V0980,503609,0.015535862147022789,4.164604240604435,11.24915437888751,1.0,0.01,11.25915437888751
7662,V103,503609,0.015214184019745476,4.185527127058494,4.185527127058494,1.0,0.01,4.195527127058494
7641,V8741,503609,0.015172485003246566,4.188271688671522,4.188271688671522,1.0,0.01,4.198271688671522
7440,V4511,503609,0.01477336584532842,4.214929324491951,13.110378272213781,1.0,0.01,13.120378272213781
7357,V153,503609,0.014608555446785106,4.226147932386824,11.638675683299692,1.0,0.01,11.648675683299691
7078,V1046,503609,0.01405455422758529,4.26480879141368,49.33604329812777,1.0,0.01,49.34604329812777
6635,V4365,503609,0.013174903546203503,4.329441505552781,16.969433936237422,1.0,0.01,16.979433936237424
6470,V4364,503609,0.012847268416569203,4.354624064824142,16.969433936237422,2.0,0.01,16.989433936237422
6262,V1588,503609,0.012434249586484753,4.387300550432737,37.675621831375224,2.0,0.01,37.69562183137523
6259,V707,503609,0.012428292584127766,4.387779745394387,4.387779745394387,1.0,0.01,4.397779745394387
6197,V4589,503609,0.012305181202083362,4.397734869356981,39.25495210200368,3.0,0.01,39.28495210200368
6040,V4502,503609,0.011993431412067695,4.423396161390228,17.664877733888797,2.0,0.01,17.684877733888797
5751,V090,503609,0.011419573518344588,4.472426420605334,13.080193295875382,1.0,0.01,13.090193295875382
5654,V462,503609,0.011226963775468668,4.489436914065553,10.064133845343965,1.0,0.01,10.074133845343965
5645,V433,503609,0.011209092768397705,4.4910299757353265,19.89991098850739,1.0,0.01,19.90991098850739
5380,V1581,503609,0.010682890893530497,4.539111799163258,37.675621831375224,3.0,0.01,37.705621831375225
4840,V1083,503609,0.00961063046927279,4.644885452608411,69.63619819469484,1.0,0.01,69.64619819469485
4823,V4987,503609,0.009576874122583194,4.648404032250117,41.901708059006424,2.0,0.01,41.92170805900643
4495,V850,503609,0.008925575198219253,4.718834505413368,10.22915654150565,1.0,0.01,10.23915654150565
4346,V1005,503609,0.00862971074782222,4.752544291502714,61.68731282602627,1.0,0.01,61.69731282602627
3997,V441,503609,0.007936712806959368,4.836256093607765,33.69933630005146,1.0,0.01,33.70933630005146
3735,V422,503609,0.007416467934449146,4.904052354752171,42.68305349766496,1.0,0.01,42.693053497664955
3733,V0254,503609,0.007412496599544488,4.904587973404505,18.18054239708001,1.0,0.01,18.190542397080012
3693,V440,503609,0.007333069901451324,4.915361037466525,33.69933630005146,2.0,0.01,33.71933630005147
3460,V4983,503609,0.0068704093850586465,4.980531584267318,41.901708059006424,3.0,0.01,41.931708059006425
3436,V4611,503609,0.006822753366202749,4.987492169214942,4.987492169214942,1.0,0.01,4.997492169214942
3142,V4586,503609,0.006238967135217996,5.076940633503522,39.25495210200368,4.0,0.01,39.29495210200368
3125,V4579,503609,0.006205210788528402,5.082365890148586,61.59402945024026,1.0,0.01,61.604029450240255
2986,V6284,503609,0.005929203012654659,5.127865474219953,16.177979384859206,1.0,0.01,16.187979384859208
2777,V08,503609,0.0055141985151178794,5.200428965012289,5.200428965012289,1.0,0.01,5.210428965012289
2732,V1204,503609,0.00542484347976307,5.216766231628408,35.47919164808542,1.0,0.01,35.489191648085416
2701,V641,503609,0.005363287788740868,5.228178098526473,18.582753331252295,1.0,0.01,18.592753331252297
2692,V4975,503609,0.005345416781669906,5.23151576155447,35.550161382025976,1.0,0.01,35.560161382025974
2681,V1272,503609,0.005323574439694286,5.23561031408313,18.389788883046656,1.0,0.01,18.399788883046657
2558,V5869,503609,0.0050793373430578085,5.2825744701803,42.87843810556217,4.0,0.01,42.91843810556217
2527,V1255,503609,0.005017781652035607,5.294767344930894,34.36587617700984,3.0,0.01,34.39587617700984
2477,V4572,503609,0.004918498279419152,5.314752022829729,61.59402945024026,2.0,0.01,61.61402945024026
2243,V1052,503609,0.004453852095574146,5.41398591779888,41.95226854794988,1.0,0.01,41.962268547949876
2139,V642,503609,0.00424734268053192,5.461461743236683,18.582753331252295,2.0,0.01,18.602753331252295
2118,V173,503609,0.004205643664033009,5.471327926157737,29.880833040303397,1.0,0.01,29.8908330403034
2118,V1011,503609,0.004205643664033009,5.471327926157737,5.471327926157737,1.0,0.01,5.481327926157737
2102,V600,503609,0.004173872984795744,5.478910900882192,34.742547435356094,1.0,0.01,34.75254743535609
2093,V443,503609,0.0041560019777247825,5.483201729873088,33.69933630005146,3.0,0.01,33.729336300051465
2054,V454,503609,0.004078560947083948,5.502011061830585,17.551021218548627,1.0,0.01,17.56102121854863
2053,V6441,503609,0.004076575279631619,5.502498035300155,12.817922955794177,1.0,0.01,12.827922955794177
2037,V851,503609,0.004044804600394354,5.510322036092282,10.22915654150565,2.0,0.01,10.24915654150565
2031,V1006,503609,0.004032890595680379,5.513271890738704,61.68731282602627,2.0,0.01,61.707312826026275
2024,V1551,503609,0.004018990923514075,5.516724421911732,20.970602313581665,1.0,0.01,20.980602313581667
1966,V420,503609,0.003903822211278988,5.545799151611977,42.68305349766496,2.0,0.01,42.70305349766496
1940,V8801,503609,0.003852194857518432,5.559112200261715,5.559112200261715,1.0,0.01,5.569112200261714
1940,V4573,503609,0.003852194857518432,5.559112200261715,61.59402945024026,3.0,0.01,61.62402945024026
1910,V463,503609,0.003792624833948559,5.574696931278413,10.064133845343965,2.0,0.01,10.084133845343965
1822,V442,503609,0.0036178860981435994,5.621865374499185,33.69933630005146,4.0,0.01,33.73933630005146
1760,V1302,503609,0.003494774716099196,5.656486364286891,11.858483910327664,1.0,0.01,11.868483910327663
1694,V1209,503609,0.003363720664245476,5.6947075771070885,35.47919164808542,2.0,0.01,35.49919164808542
1575,V550,503609,0.0031274262374183146,5.767544901059355,61.256169238669585,1.0,0.01,61.26616923866958
1572,V1082,503609,0.003121469235061327,5.769451479329937,69.63619819469484,2.0,0.01,69.65619819469484
