0,1,2,3,4,5,6
96.06,96.0,96,87-99.99,00-99.99,00-99.99,00-99.99
00.44,00.4,00-00.99,00-99.99,00-99.99,00-99.99,00-99.99
81.95,81.9,81,76-84.99,00-99.99,00-99.99,00-99.99
03.93,03.9,03,01-05.99,00-99.99,00-99.99,00-99.99
04.73,04.7,04,01-05.99,00-99.99,00-99.99,00-99.99
16.99,16.9,16,08-16.99,00-99.99,00-99.99,00-99.99
79.25,79.2,79,76-84.99,00-99.99,00-99.99,00-99.99
11.39,11.3,11,08-16.99,00-99.99,00-99.99,00-99.99
84.5,84,76-84.99,00-99.99,00-99.99,00-99.99,00-99.99
88.43,88.4,88,87-99.99,00-99.99,00-99.99,00-99.99
38.61,38.6,38,35-39.99,00-99.99,00-99.99,00-99.99
04.76,04.7,04,01-05.99,00-99.99,00-99.99,00-99.99
92.21,92.2,92,87-99.99,00-99.99,00-99.99,00-99.99
69.2,69,65-71.99,00-99.99,00-99.99,00-99.99,00-99.99
83.03,83.0,83,76-84.99,00-99.99,00-99.99,00-99.99
39.57,39.5,39,35-39.99,00-99.99,00-99.99,00-99.99
89.0,89,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
99.95,99.9,99,87-99.99,00-99.99,00-99.99,00-99.99
11.9,11,08-16.99,00-99.99,00-99.99,00-99.99,00-99.99
91.06,91.0,91,87-99.99,00-99.99,00-99.99,00-99.99
00.31,00.3,00-00.99,00-99.99,00-99.99,00-99.99,00-99.99
37,35-39.99,00-99.99,00-99.99,00-99.99,00-99.99,00-99.99
81.98,81.9,81,76-84.99,00-99.99,00-99.99,00-99.99
81.82,81.8,81,76-84.99,00-99.99,00-99.99,00-99.99
00.91,00.9,00-00.99,00-99.99,00-99.99,00-99.99,00-99.99
29.39,29.3,29,21-29.99,00-99.99,00-99.99,00-99.99
80.01,80.0,80,76-84.99,00-99.99,00-99.99,00-99.99
90.13,90.1,90,87-99.99,00-99.99,00-99.99,00-99.99
21.07,21.0,21,21-29.99,00-99.99,00-99.99,00-99.99
91.0,91,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
79.85,79.8,79,76-84.99,00-99.99,00-99.99,00-99.99
67.62,67.6,67,65-71.99,00-99.99,00-99.99,00-99.99
88.90,88.9,88,87-99.99,00-99.99,00-99.99,00-99.99
29.9,29,21-29.99,00-99.99,00-99.99,00-99.99,00-99.99
86.92,86.9,86,85-86.99,00-99.99,00-99.99,00-99.99
91.6,91,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
98.14,98.1,98,87-99.99,00-99.99,00-99.99,00-99.99
41.42,41.4,41,40-41.99,00-99.99,00-99.99,00-99.99
32,30-34.99,00-99.99,00-99.99,00-99.99,00-99.99,00-99.99
44.69,44.6,44,42-54.99,00-99.99,00-99.99,00-99.99
64.2,64,60-64.99,00-99.99,00-99.99,00-99.99,00-99.99
16.49,16.4,16,08-16.99,00-99.99,00-99.99,00-99.99
76.3,76,76-84.99,00-99.99,00-99.99,00-99.99,00-99.99
63.99,63.9,63,60-64.99,00-99.99,00-99.99,00-99.99
99.98,99.9,99,87-99.99,00-99.99,00-99.99,00-99.99
87.75,87.7,87,87-99.99,00-99.99,00-99.99,00-99.99
94.38,94.3,94,87-99.99,00-99.99,00-99.99,00-99.99
09.73,09.7,09,08-16.99,00-99.99,00-99.99,00-99.99
90.73,90.7,90,87-99.99,00-99.99,00-99.99,00-99.99
96.03,96.0,96,87-99.99,00-99.99,00-99.99,00-99.99
18.01,18.0,18,18-20.99,00-99.99,00-99.99,00-99.99
29.99,29.9,29,21-29.99,00-99.99,00-99.99,00-99.99
91.53,91.5,91,87-99.99,00-99.99,00-99.99,00-99.99
13.51,13.5,13,08-16.99,00-99.99,00-99.99,00-99.99
96.1,96,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
89.5,89,87-99.99,00-99.99,00-99.99,00-99.99,00-99.99
71.3,71,65-71.99,00-99.99,00-99.99,00-99.99,00-99.99
