Frekvens,0,Total rows,Probability,IC,PARENT_IC,INDEX,Constant,ENCODE
53577,E8798,503609,0.10638610509343559,2.240680301829479,47.372462899602624,1.0,0.01,47.38246289960262
34611,E9342,503609,0.06872593619256209,2.677628622723689,56.07985812026433,1.0,0.01,56.08985812026433
25611,E9331,503609,0.05085492912160029,2.978778226640672,17.125726146737478,1.0,0.01,17.13572614673748
24016,E8788,503609,0.047687789535135396,3.0430798984458454,42.85769871293356,1.0,0.01,42.86769871293356
23493,E8497,503609,0.04664928545756728,3.065097668900041,50.3540873717768,1.0,0.01,50.3640873717768
21858,E8782,503609,0.04340271917300922,3.1372331860824696,42.85769871293356,2.0,0.01,42.877698712933565
18548,E8781,503609,0.036830159905799936,3.301438206807737,42.85769871293356,3.0,0.01,42.88769871293356
16051,E9320,503609,0.0318719482773342,3.4460290204058706,36.744817719446246,1.0,0.01,36.754817719446244
14932,E8780,503609,0.029649986398177952,3.518293612284614,42.85769871293356,4.0,0.01,42.89769871293356
14892,E8859,503609,0.02957055970008479,3.520976017326481,14.347946376651523,1.0,0.01,14.357946376651523
12339,E8889,503609,0.024501150694288626,3.7090351954205545,25.50715843151679,1.0,0.01,25.51715843151679
10354,E9352,503609,0.020559600801415383,3.884427254857242,52.76990189622528,1.0,0.01,52.779901896225276
10023,E8792,503609,0.019902344874694455,3.9169177212942223,47.372462899602624,2.0,0.01,47.39246289960263
9838,E9308,503609,0.019534996396013575,3.9355477349638033,55.77805708044558,1.0,0.01,55.788057080445576
8871,E9478,503609,0.017614855969611345,4.039012643798501,9.321978120826403,1.0,0.01,9.331978120826403
8469,E8796,503609,0.01681661765377505,4.0853877353974895,47.372462899602624,3.0,0.01,47.402462899602625
7908,E9444,503609,0.015702658213018434,4.153925268028581,37.158465063717216,1.0,0.01,37.168465063717214
7729,E8791,503609,0.015347223739051527,4.176820685212218,47.372462899602624,4.0,0.01,47.41246289960262
7265,E912,503609,0.014425874041170829,4.238731876314705,15.095345462096653,1.0,0.01,15.105345462096652
7059,E9289,503609,0.014016826545991037,4.267496774923616,18.486176480574375,1.0,0.01,18.496176480574377
6897,E9394,503609,0.013695148418713724,4.290713638887797,56.35368352599613,1.0,0.01,56.36368352599613
5745,E915,503609,0.011407659513630614,4.4734702620362325,15.095345462096653,2.0,0.01,15.115345462096652
5308,E8498,503609,0.010539922836962803,4.55258505686699,50.3540873717768,2.0,0.01,50.3740873717768
4996,E8790,503609,0.009920394591836126,4.61316258107362,47.372462899602624,5.0,0.01,47.42246289960262
4143,E8490,503609,0.008226620254999414,4.800380010241686,50.3540873717768,3.0,0.01,50.3840873717768
4097,E9305,503609,0.008135279552192277,4.811545174772217,55.77805708044558,2.0,0.01,55.79805708044558
4046,E8700,503609,0.008034010512123492,4.8240714345913975,49.32839307743394,1.0,0.01,49.338393077433935
3892,E8786,503609,0.007728217724464813,4.862877009013193,42.85769871293356,5.0,0.01,42.90769871293356
